Date,total_btc_value
2021-01-08,0.150613
2021-01-09,0.158533
2021-01-10,0.158533
2021-01-11,0.150900
2021-01-12,0.168566
2021-01-13,0.167868
2021-01-14,0.173489
2021-01-15,0.209938
2021-01-16,0.218136
2021-01-17,0.235985
2021-01-18,0.216932
2021-01-19,0.219139
2021-01-20,0.241255
2021-01-21,0.234419
2021-01-22,0.246340
2021-01-23,0.255869
2021-01-24,0.267473
2021-01-25,0.249257
2021-01-26,0.263072
2021-01-27,0.270005
2021-01-28,0.265719
2021-01-29,0.26118636
2021-01-30,0.27757078
2021-01-31,0.26651296
2021-02-01,0.28342563
2021-02-02,0.27783082
2021-02-03,0.28312836
2021-02-04,0.30871655
2021-02-05,0.27618336
2021-02-06,0.28862200
2021-02-07,0.29061367
2021-02-08,0.26431072
2021-02-09,0.29681288
2021-02-10,0.29931114
2021-02-11,0.29202791
2021-02-12,0.31120078
2021-02-13,0.29086863
2021-02-14,0.29821834
2021-02-15,0.28561629
2021-02-16,0.28681035
2021-02-17,0.30318294
2021-02-18,0.31371562
2021-02-19,0.30476226
2021-02-20,0.29740719
2021-02-21,0.32578678
2021-02-22,0.31877496
2021-02-23,0.31385502
2021-02-24,0.31062865
2021-02-25,0.33223247
2021-02-26,0.34893346
2021-02-27,0.33415708
2021-02-28,0.34382944
2021-03-01,0.3453115786469225
2021-03-02,0.3558161128535041
2021-03-03,0.3484208324286292